is,jb,recipient,confirm_date,bc_planned_start,bc_ref,bc_status,ff_status,contact,title,site_group,site_display,development_site,development_site
IS22827312,JB11531003,Agent,14/07/2026,2026-07-14 16:00:00,JOB282784,Sent,AwaitingJobCompletion,1606 Alcock House,Frame split (Internal door),"1606 Alcock House, Salford","1606 Alcock House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22815072,JB11522500,Agent,14/07/2026,2026-07-14 16:30:00,JOB282443,Sent,AwaitingJobCompletion,1006 Doodson House,Other (Bathroom and Toilet),"1006 Doodson House, Salford","1006 Doodson House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22784595,JB11504702,Agent,14/07/2026,2026-07-14 17:00:00,JOB279818,Sent,AwaitingJobCompletion,Flat 1014 Chapel Wharf,Other (Shower),"1014 Bradshaw House, Salford","1014 Bradshaw House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22812618,JB11528110,Agent,14/07/2026,2026-07-14 17:30:00,DLFF283939,Sent,AwaitingJobCompletion,1518 Chapman House,Check Out Inspection (Planned works),"1518 Chapman House, Salford","1518 Chapman House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22878580,JB11563498,Agent,15/07/2026,2026-07-15 11:00:00,JOB285067,Sent,AwaitingJobCompletion,Flat 907 Chapel Wharf,Door not opening/closing properly (Internal door),"907 Chapman House, Salford","907 Chapman House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22820641,JB11526283,Agent,15/07/2026,2026-07-15 13:30:00,JOB282543,Sent,AwaitingJobCompletion,506 Doodson House,Not working (Extractor Fan),"506 Doodson House, Salford","506 Doodson House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22738472,JB11475605,Agent,15/07/2026,2026-07-15 14:30:00,JOB278348,Sent,AwaitingJobCompletion,1606 Doodson House,Key lost and property can be accessed (Key lost),"1606 Doodson House, Salford","1606 Doodson House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22735020,JB11473131,Agent,15/07/2026,2026-07-15 15:30:00,JOB278275,Sent,AwaitingJobCompletion,1006 Doodson House,Frame split (Internal door),"1006 Doodson House, Salford","1006 Doodson House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22714469,JB11462201,Agent,15/07/2026,2026-07-15 16:30:00,JOB278027,Sent,AwaitingJobCompletion,702 Doodson House,Other (Sink),"702 Doodson House, Salford","702 Doodson House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22829754,JB11533620,Agent,16/07/2026,2026-07-16 10:00:00,DLFF283942,Sent,AwaitingJobCompletion,Flat 1309 Chapel Wharf,Check Out Inspection (Planned works),"1309 Alcock House, Salford","1309 Alcock House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22830549,JB11533527,Agent,16/07/2026,2026-07-16 11:00:00,DLFF282820,Sent,AwaitingJobCompletion,Flat 1002 Chapel Wharf,Bedside Table Broken (Bedside Table),"1002 Bradshaw House, Salford","1002 Bradshaw House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22847020,JB11545156,Agent,16/07/2026,2026-07-16 14:00:00,JOB284230,Sent,AwaitingJobCompletion,Flat 402 Chapel Wharf,Not working (Extractor Fan),"402 Chapman House, Salford","402 Chapman House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22866240,JB11557705,Agent,17/07/2026,2026-07-17 11:00:00,JOB284820,Sent,AwaitingJobCompletion,Flat 723 Chapel Wharf,Door not opening/closing properly (Internal door),"723 Bradshaw House, Salford","723 Bradshaw House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22875674,JB11562560,Agent,17/07/2026,2026-07-17 12:00:00,JOB284989,Scheduled,AwaitingJobCompletion,Flat 418 Chapel Wharf,Other (Leak),"418 Alcock House, Salford","418 Alcock House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22777105,JB11505586,Agent,17/07/2026,2026-07-17 14:00:00,EOT284821,Sent,JobCompleted,1504 Doodson House,Check Out Inspection (Planned works),"1504 Doodson House, Salford","1504 Doodson House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22730040,JB11478847,Agent,17/07/2026,2026-07-17 15:00:00,DLFF278603,Scheduled,AwaitingJobCompletion,1503 Alcock House,Check Out Inspection (Planned works),"1503 Alcock House, Salford","1503 Alcock House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22863525,JB11556911,Agent,17/07/2026,2026-07-17 16:00:00,DLFF284827,Sent,AwaitingJobCompletion,1206 Doodson House,Check Out Inspection (Planned works),"1206 Doodson House, Salford","1206 Doodson House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22730275,JB11478843,Agent,17/07/2026,2026-07-17 17:00:00,EOT284824,Sent,JobCompleted,2007 Doodson House,Check Out Inspection (Planned works),"2007 Doodson House, Salford","2007 Doodson House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22709953,JB11459430,Agent,20/07/2026,2026-07-20 09:00:00,EOT284658,Sent,JobCompleted,Flat 415 Chapel Wharf,Check Out Inspection (Planned works),"415 Chapman House, Salford","415 Chapman House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22767150,JB11493645,Agent,20/07/2026,2026-07-20 10:00:00,JOB278740,Sent,AwaitingJobCompletion,Flat 1701 Chapel Wharf,Worktop damaged (needs repair) (Worktop),"1701 Alcock House, Salford","1701 Alcock House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22880256,JB11563787,Agent,20/07/2026,2026-07-20 13:00:00,JOB285078,Sent,AwaitingJobCompletion,301 Doodson House,Other (Flush),"301 Doodson House, Salford","301 Doodson House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22745254,JB11477869,Agent,20/07/2026,2026-07-20 14:00:00,JOB278533,Scheduled,AwaitingJobCompletion,514 Bradshaw House,Toilet bowl cracked and leaking (Toilet seat/bowl),"407 Bradshaw House, Salford","407 Bradshaw House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22875898,JB11562603,Agent,21/07/2026,2026-07-21 10:00:00,JOB284990,Scheduled,AwaitingJobCompletion,Flat 1001 Chapel Wharf,Other (Front door),"1001 Bradshaw House, Salford","1001 Bradshaw House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22760861,JB11488673,Agent,21/07/2026,2026-07-21 11:00:00,JOB278688,Scheduled,JobAwarded,Flat 421 Chapel Wharf,Not working (Extractor Fan),"421 Bradshaw House, Salford","421 Bradshaw House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22887048,JB11569235,Agent,21/07/2026,2026-07-21 16:00:00,JOB285226,Scheduled,AwaitingJobCompletion,719 Alcock House,Cupboard doors off the rails,"719 Alcock House, Salford","719 Alcock House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22870326,JB11573154,Tenant,23/07/2026,2026-07-23 08:00:00,JOB285267,Scheduled,JobAwarded,20 Farnell Road,Other (In Garden),"20 Farnell Road, Surrey","20 Farnell Road, Surrey",Farnell Road (Surrey),Farnell Road (Surrey)
IS22857135,JB11551864,Agent,14/07/2026,2026-07-14 08:00:00,JOB284748,Sent,AwaitingJobCompletion,"Reception, Granary Quay, 365 Glasgow Harbour Terra",Carpet ripped or damaged (need new carpet) (Floors),"Reception, Granary Quay, 365 Glasgow Harbour Terraces, Glasgow","Reception, Granary Quay, 365 Glasgow Harbour Terraces, Glasgow",Granary Quay (Glasgow),Granary Quay (Glasgow)
IS22873786,JB11562158,Agent,14/07/2026,2026-07-14 10:00:00,JOB284971,Scheduled,AwaitingJobCompletion,223 Granary Quay,Wardrobe doorstopper in LH bedroom needs fixed ASAP *** MOVE IN 13/07***,"223 Granary Quay, Glasgow","223 Granary Quay, Glasgow",Granary Quay (Glasgow),Granary Quay (Glasgow)
IS22857807,JB11552448,Agent,14/07/2026,2026-07-14 14:00:00,JOB284752~1,Scheduled,AwaitingJobCompletion,"Reception, Granary Quay, 365 Glasgow Harbour Terra",Electric heater loose (Electric Heater),"Reception, Granary Quay, 365 Glasgow Harbour Terraces, Glasgow","Reception, Granary Quay, 365 Glasgow Harbour Terraces, Glasgow",Granary Quay (Glasgow),Granary Quay (Glasgow)
IS22857604,JB11552279,Agent,14/07/2026,2026-07-14 16:00:00,JOB284751,Scheduled,AwaitingJobCompletion,"Reception, Granary Quay, 365 Glasgow Harbour Terra",Tread or riser loose (Tread or riser),"Reception, Granary Quay, 365 Glasgow Harbour Terraces, Glasgow","Reception, Granary Quay, 365 Glasgow Harbour Terraces, Glasgow",Granary Quay (Glasgow),Granary Quay (Glasgow)
IS22869882,JB11560574,Agent,15/07/2026,2026-07-15 10:00:00,DLFF284856,Sent,AwaitingJobCompletion,1121 Granary Quay,Other (Bed),"1121 Granary Quay, Glasgow","1121 Granary Quay, Glasgow",Granary Quay (Glasgow),Granary Quay (Glasgow)
IS22868811,JB11559715,Agent,16/07/2026,2026-07-16 09:00:00,DLFF284851,Scheduled,AwaitingJobCompletion,222 Granary Quay,Other (Bed),"222 Granary Quay, Glasgow","222 Granary Quay, Glasgow",Granary Quay (Glasgow),Granary Quay (Glasgow)
IS22846158,JB11544747,Tenant,20/07/2026,2026-07-20 09:00:00,DLFF284838,Scheduled,JobAwarded,1005 Granary Quay,Other (Table),"1005 Granary Quay, Glasgow","1005 Granary Quay, Glasgow",Granary Quay (Glasgow),Granary Quay (Glasgow)
IS22812952,JB11521149,Agent,15/07/2026,2026-07-15 08:00:00,JOB282432,Scheduled,AwaitingJobCompletion,25 Honeywood,Lock broken with window open (Window locks),"25 Honeywood, Newcastle","25 Honeywood, Newcastle",Honeywood (Newcastle),Honeywood (Newcastle)
IS22864484,JB11556101,Agent,13/07/2026,2026-07-13 16:00:00,JOB284802,Sent,AwaitingJobCompletion,Flat 319 Leodis Square,Other (Kitchen Units and Larder),"319 Daniels House, Leeds","319 Daniels House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22886300,JB11568475,Agent,14/07/2026,2026-07-14 08:00:00,JOB285191,Scheduled,AwaitingJobCompletion,Flat 314 Leodis Square,Other (Walls),"314 Aaron House, Leeds","314 Aaron House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22835075,JB11536735,Agent,14/07/2026,2026-07-14 08:00:00,DLFF283864,Sent,AwaitingJobCompletion,Flat 503 Leodis Square,Check Out Inspection (Planned works),"503 Burton House, Leeds","503 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22652873,JB11419766,Agent,14/07/2026,2026-07-14 08:00:00,DLFF276950,Scheduled,JobCompleted,Flat 519 Leodis Square,Check Out Inspection (Planned works),"519 Calvert House, Leeds","519 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22874534,JB11562348,Agent,14/07/2026,2026-07-14 08:00:00,DLFF284973,Sent,AwaitingJobCompletion,Flat 519 Leodis Square,Fridge does not work correctly (Fridge),"519 Calvert House, Leeds","519 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22671838,JB11439768,Agent,14/07/2026,2026-07-14 08:00:00,DLFF277680,Scheduled,JobCompleted,Flat G08 Leodis Square,Check Out Inspection (Planned works),"G08 Burton House, Leeds","G08 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22738305,JB11478788,Tenant,14/07/2026,2026-07-14 08:00:00,JOB278539,Scheduled,AwaitingJobCompletion,Flat G09 Leodis Square,Cleaning (Planned works),"G09 Burton House, Leeds","G09 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22820670,JB11526287,Agent,14/07/2026,2026-07-14 08:30:00,JOB282544,Sent,AwaitingJobCompletion,704 Calvert House,Toilet seat loose (Toilet seat/bowl),"704 Calvert House, Leeds","704 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22871667,JB11569667,Agent,14/07/2026,2026-07-14 09:00:00,JOB285240,Scheduled,AwaitingJobCompletion,Aaron House,"Other (Doors, Garages and Locks)","Aaron House, Leeds","Aaron House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22807250,JB11515994,Agent,14/07/2026,2026-07-14 09:30:00,DLFF280112,Scheduled,AwaitingJobCompletion,Flat G11 Leodis Square,Other (Fridge),"G11 Aaron House, Leeds","G11 Aaron House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22815157,JB11522547,Agent,14/07/2026,2026-07-14 11:00:00,JOB282444,Sent,AwaitingJobCompletion,Flat 912 Leodis Square,Bathroom mirror scratched / damaged (Fittings / furniture),"912 Burton House, Leeds","912 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22815764,JB11523001,Agent,14/07/2026,2026-07-14 11:30:00,DLFF282446,Sent,AwaitingJobCompletion,Flat 912 Leodis Square,Other (Fridge),"912 Burton House, Leeds","912 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22714090,JB11462002,Agent,14/07/2026,2026-07-14 12:00:00,JOB278023,Scheduled,AwaitingJobCompletion,Flat 211 Leodis Square,Internal cleaning (Cleaning),"211 Daniels House, Leeds","211 Daniels House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22807081,JB11517208,Agent,14/07/2026,2026-07-14 12:00:00,DLFF282524,Scheduled,JobCompleted,Flat G06 Leodis Square,Other (Planned works),"G06 Aaron House, Leeds","G06 Aaron House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22860760,JB11553734,Agent,14/07/2026,2026-07-14 13:00:00,EOT284781~3,Sent,AwaitingJobCompletion,Flat 316 Leodis Square,Interim inspection (Property Inspection),"316 Calvert House, Leeds","316 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22856681,JB11551536,Agent,14/07/2026,2026-07-14 13:30:00,DLFF284743,Scheduled,AwaitingJobCompletion,Flat 303 Leodis Square,Other (Fridge),"303 Daniels House, Leeds","303 Daniels House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22865054,JB11556672,Agent,14/07/2026,2026-07-14 14:00:00,JOB284808,Sent,AwaitingJobCompletion,Flat 319 Leodis Square,Other (Furniture),"319 Daniels House, Leeds","319 Daniels House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22888699,JB11570576,Tenant,14/07/2026,2026-07-14 14:00:00,JOB285250,Sent,AwaitingJobCompletion,Flat 601 Leodis Square,Other (Shower),"601 Calvert House, Leeds","601 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22823903,JB11527791,Agent,14/07/2026,2026-07-14 14:00:00,DLFF282661,Sent,AwaitingJobCompletion,Flat G03 Leodis Square,Hob (gas) does not work correctly (Hob),"G03 Burton House, Leeds","G03 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22720222,JB11466721,Agent,14/07/2026,2026-07-14 14:30:00,DLFF278335,Scheduled,AwaitingJobCompletion,Flat 806 Leodis Square,Check Out Inspection (Planned works),"806 Calvert House, Leeds","806 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22832677,JB11535466,Tenant,14/07/2026,2026-07-14 15:00:00,DLFF282916,Sent,AwaitingJobCompletion,Flat 111 Leodis Square,Fridge does not work correctly (Fridge),"111 Daniels House, Leeds","111 Daniels House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22864527,JB11556136,Agent,14/07/2026,2026-07-14 15:00:00,JOB284803,Sent,AwaitingJobCompletion,Flat 319 Leodis Square,Other (Bathroom and Toilet),"319 Daniels House, Leeds","319 Daniels House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22860589,JB11553714,Tenant,14/07/2026,2026-07-14 16:00:00,JOB284765,Sent,AwaitingJobCompletion,Flat G02 Leodis Square,Push button damaged (Flush),"G02 Aaron House, Leeds","G02 Aaron House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22887178,JB11569365,Agent,14/07/2026,2026-07-14 17:00:00,JOB285229,Sent,AwaitingJobCompletion,Flat 518 Leodis Square,Plug hole blocked (Plug hole),"518 Burton House, Leeds","518 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22833578,JB11535938,Tenant,15/07/2026,2026-07-15 10:00:00,DLFF283541,Sent,AwaitingJobCompletion,903 Calvert House,Other (Bed),"903 Calvert House, Leeds","903 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22831579,JB11534473,Agent,15/07/2026,2026-07-15 11:00:00,JOB282829,Sent,AwaitingJobCompletion,Flat 714 Leodis Square,Chest of Drawers Broken (Chest of Drawers),"714 Aaron House, Leeds","714 Aaron House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22723783,JB11466717,Agent,15/07/2026,2026-07-15 12:00:00,DLFF278334,Scheduled,AwaitingJobCompletion,Flat 203 Leodis Square,Check Out Inspection (Planned works),"203 Calvert House, Leeds","203 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22842833,JB11541979,Agent,15/07/2026,2026-07-15 13:00:00,JOB283943,Sent,AwaitingJobCompletion,Flat 1105 Leodis Square,Other (Shower),"1105 Daniels House, Leeds","1105 Daniels House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22870393,JB11560984,Agent,15/07/2026,2026-07-15 13:00:00,DLFF284959,Sent,AwaitingJobCompletion,Flat 716 Leodis Square,Other (Fridge),"716 Aaron House, Leeds","716 Aaron House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22642682,JB11429814,Agent,15/07/2026,2026-07-15 13:00:00,JOB284842,Sent,AwaitingJobCompletion,908 Aaron House,Inventory (Planned works),"908 Aaron House, Leeds","908 Aaron House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22780399,JB11502106,Agent,15/07/2026,2026-07-15 14:00:00,JOB279661~2,Sent,AwaitingJobCompletion,Flat 907 Leodis Square,Other (Chest of Drawers),"907 Calvert House, Leeds","907 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22868207,JB11559195,Agent,15/07/2026,2026-07-15 15:00:00,DLFF284849,Sent,AwaitingJobCompletion,Flat 316 Leodis Square,Other (Fridge),"316 Daniels House, Leeds","316 Daniels House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22738949,JB11475688,Agent,15/07/2026,2026-07-15 16:00:00,DLFF278368,Sent,AwaitingJobCompletion,Flat 504 Leodis Square,Hob damaged (Hob),"504 Burton House, Leeds","504 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22887296,JB11569461,Agent,15/07/2026,2026-07-15 16:00:00,DLFF285230,Sent,AwaitingJobCompletion,Flat 518 Leodis Square,Other (Insects),"518 Burton House, Leeds","518 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22887759,JB11569833,Agent,15/07/2026,2026-07-15 16:00:00,JOB285245,Sent,AwaitingJobCompletion,Flat G06 Leodis Square,Other (Postboxes),"G06 Aaron House, Leeds","G06 Aaron House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22866323,JB11557752,Agent,16/07/2026,2026-07-16 07:30:00,EOT284822~1,Scheduled,AwaitingJobCompletion,909 Burton House,Interim inspection (Property Inspection),"909 Burton House, Leeds","909 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22801228,JB11514480,Agent,16/07/2026,2026-07-16 08:00:00,JOB280002,Sent,AwaitingJobCompletion,Flat 203 Leodis Square,Chest of Drawers Broken (Chest of Drawers),"203 Calvert House, Leeds","203 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22802051,JB11514628,Agent,16/07/2026,2026-07-16 09:00:00,DLFF280061,Sent,AwaitingJobCompletion,Flat 415 Leodis Square,Dishwasher does not work correctly (Dishwasher),"415 Aaron House, Leeds","415 Aaron House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22804261,JB11515378,Agent,16/07/2026,2026-07-16 10:00:00,JOB280069,Sent,AwaitingJobCompletion,Flat 508 Leodis Square,Not working (Extractor Fan),"508 Daniels House, Leeds","508 Daniels House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22800141,JB11514243,Agent,16/07/2026,2026-07-16 11:00:00,DLFF279996,Scheduled,AwaitingJobCompletion,Flat 507 Leodis Square,Other (Dishwasher),"507 Aaron House, Leeds","507 Aaron House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22800249,JB11514283,Agent,16/07/2026,2026-07-16 13:00:00,DLFF279997,Scheduled,AwaitingJobCompletion,Flat 411 Leodis Square,Dishwasher does not work correctly (Dishwasher),"411 Calvert House, Leeds","411 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22887123,JB11569317,Agent,16/07/2026,2026-07-16 14:00:00,JOB285227,Scheduled,AwaitingJobCompletion,Flat 518 Leodis Square,Not working (Extractor Fan),"518 Burton House, Leeds","518 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22878288,JB11563442,Agent,17/07/2026,2026-07-17 09:00:00,JOB285066,Sent,AwaitingJobCompletion,Flat 121 Leodis Square,Other (Postboxes),"121 Daniels House, Leeds","121 Daniels House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22878657,JB11563507,Agent,17/07/2026,2026-07-17 09:00:00,JOB285070,Sent,AwaitingJobCompletion,Flat 308 Leodis Square,"Door damaged, scratched or blistered (Internal door)","308 Calvert House, Leeds","308 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22878637,JB11563504,Agent,17/07/2026,2026-07-17 09:00:00,JOB285069,Scheduled,AwaitingJobCompletion,Flat 906 Leodis Square,Worktop broken (needs replacement) (Worktop),"906 Daniels House, Leeds","906 Daniels House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22878025,JB11563400,Agent,17/07/2026,2026-07-17 11:00:00,JOB285062,Sent,AwaitingJobCompletion,Flat 308 Leodis Square,Other (Problem with window frame handle or cord),"308 Calvert House, Leeds","308 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22874886,JB11562414,Agent,17/07/2026,2026-07-17 13:00:00,JOB284983,Sent,AwaitingJobCompletion,Flat 308 Leodis Square,Cracked tiles (Bathroom floor tiles),"308 Calvert House, Leeds","308 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22876053,JB11562649,Agent,17/07/2026,2026-07-17 13:00:00,JOB284991,Sent,AwaitingJobCompletion,Flat 404 Leodis Square,I need to report two maintenance issues: 1. The metal hinge of the cabinet door ,"404 Calvert House, Leeds","404 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
